year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,win,spr,sum,aut,ann
1999,35.7,74.5,107,139.3,159.1,148.3,169.7,148.8,103,73.2,55.1,35.5,138.5,405.5,466.8,231.3,1249.2
2000,54.1,55.3,78.1,135.6,258.7,138,173.5,151.1,90.3,75.7,50.1,34.4,144.9,472.4,462.6,216.1,1295
2001,51,80.6,126,130.3,222.6,123,125.7,138,110.4,56.8,38.8,55.4,166,478.8,386.7,206,1258.5
2002,27.1,49.3,108.6,137.1,149,119.3,103.9,143.3,120,73,36.6,31.9,131.8,394.7,366.5,229.5,1099.1
2003,49.5,88.1,153.5,180.8,136.7,168.7,139.9,186.1,109.5,109.9,54,37.1,169.4,471,494.7,273.3,1413.7
2004,31.1,94.4,106.3,119,195.2,126.7,145,145.2,108.5,70.9,40.2,31.5,162.6,420.4,416.9,219.7,1214
2005,40.1,77.9,90.6,148.6,201.1,133.5,153.9,155.7,102.6,44.8,62.8,34.4,149.4,440.3,443.2,210.2,1246
2006,34.8,74.2,77.4,170.8,192.3,181.3,205.1,139.1,105.1,70.4,48.9,31.5,143.5,440.5,525.5,224.4,1330.9
2007,35.8,67.4,122.3,187.3,189.3,132.8,158.7,132.5,103.4,92.3,41,31.3,134.7,498.9,424.1,236.7,1294
2008,19.6,72.2,107.8,152.9,210.1,156.8,135.5,85,72.9,92.9,53.5,39.3,123.1,470.9,377.3,219.3,1198.5
2009,35.1,46.3,110.2,150.1,197.5,204.3,165.1,119.5,101.1,80.9,45.9,30.6,120.6,457.8,488.9,227.9,1286.6
2010,53.7,71.8,94.6,161,203.5,193,103.1,166.9,125.7,90.8,65.1,54.8,156.1,459.1,463,281.6,1384
2011,44.5,52.3,86.3,187.4,164.1,137.3,200.1,103.3,97.4,43.6,52.9,19,151.5,437.8,440.7,193.9,1188.1
2012,38.3,41.3,123.1,140.9,215.6,103.3,110,147,110.1,87.2,51.4,32.8,98.6,479.5,360.3,248.6,1201
2013,25.5,83.2,83.5,173.9,161.4,162.6,219,113.7,89.2,59.8,61.7,23.2,141.6,418.8,495.2,210.7,1256.6
2014,21.5,43.3,97.1,140.6,112.4,147.9,200.3,158.1,107.7,65.1,47.7,34.7,88,350.1,506.2,220.6,1176.4
2015,42.1,62.6,96.3,206.4,168.3,134.5,127,136.4,139,86,27.3,16.6,139.4,471,397.9,252.3,1242.4
2016,19.1,72.5,105.7,158,221.6,147.5,112.7,139.2,86.5,92.9,67.2,20.4,108.1,485.3,399.4,246.6,1243.3
2017,43.5,43.9,107.7,136,231,107.9,145.2,120.5,93.4,51.6,62.9,41.1,107.9,474.7,373.7,207.9,1184.9
2018,37.1,91.7,90.4,126.1,226.1,232.7,195.5,110.5,98.2,83.2,54,27.7,169.9,442.6,538.8,235.5,1373.4
2019,48.3,73.1,84.9,162.1,184.7,162.5,139.4,140.7,111.7,97.4,55.2,30.1,149.1,431.7,442.7,264.3,1290.1
2020,20.5,59.4,99.4,211.2,239.7,143.7,112,123.7,,,,,109.9,550.3,379.4,,
