ID,Age,Height,HeightClass,Weight,BMI,Reach,ReachClass,Stance,WeightClass,T_Wins,T_Losses,T_Fights,Success,W_by_Decision,W_by_KO/TKO,W_by_Sub,L_by_Decision,L_by_KO/TKO,L_by_Sub,PWDec,PWTko,PWSub,PLDec,PLTko,PLSub,Available,TTime,Time_Avg,TLpM,AbpM,SubAtt_Avg
a0c64f272b65d441,27.9,66,Average,125,20.173,68,Below,Orthodox,Flywieght,12,5,17,0.706,5,2,5,5,0,0,0.294,0.118,0.294,0.294,0,0,5,75,15,5.467,1.627,0.2
67c1d46f4ed16f9e,28.95,68,Average,125,19.004,70,Below,Orthodox,Flywieght,12,4,16,0.75,3,2,6,1,2,1,0.188,0.125,0.375,0.062,0.125,0.062,4,38.183,9.546,4.426,3.667,0.786
792be9a24df82ed6,25.05,67,Average,125,19.576,70,Below,Orthodox,Flywieght,14,5,19,0.737,3,1,10,5,0,0,0.158,0.053,0.526,0.263,0,0,5,66.483,13.297,3.805,3.023,0.902
1a31ef98efce7a79,25.97,66,Average,125,20.173,66,Below,Switch,Flywieght,13,2,16,0.812,5,4,4,0,2,0,0.312,0.25,0.25,0,0.125,0,4,47.267,11.817,5.247,2.433,1.587
2fe9032955c2e013,24.34,66,Average,125,20.173,69,Below,Switch,Flywieght,9,2,11,0.818,2,2,5,1,1,0,0.182,0.182,0.455,0.091,0.091,0,3,28.5,9.5,1.895,1.719,2.632
f57dd0bfa8c17813,24.32,66,Average,135,21.787,65,Below,Orthodox,Flywieght,11,1,12,0.917,4,1,6,0,0,1,0.333,0.083,0.5,0,0,0.083,3,28.683,9.561,3.417,2.998,0.523
853eb0dd5c0e2149,25.75,65,Short,125,20.799,66,Below,Orthodox,Flywieght,18,7,26,0.692,6,9,3,3,2,2,0.231,0.346,0.115,0.115,0.077,0.077,1,15,15,10.467,1.067,0
b12fc8a41e82d3a2,27.51,66,Average,135,21.787,68,Below,Orthodox,Flywieght,11,4,15,0.733,3,4,4,2,1,1,0.2,0.267,0.267,0.133,0.067,0.067,5,56.3,11.26,4.405,3.286,0.266
199eb7cf6ae90294,21.53,69,Average,125,18.457,71,Below,Orthodox,Flywieght,11,1,12,0.917,4,0,7,1,0,0,0.333,0,0.583,0.083,0,0,2,30,15,7.167,3.367,2.5
ac5a7400da3a9a41,26.28,65,Short,125,20.799,67,Below,Southpaw,Flywieght,6,2,8,0.75,1,2,3,1,0,1,0.125,0.25,0.375,0.125,0,0.125,2,22,11,2.773,5.045,1.364
ec664422b22d9787,30.4,65,Short,125,20.799,68,Below,Orthodox,Flywieght,7,5,12,0.583,3,2,2,3,0,2,0.25,0.167,0.167,0.25,0,0.167,4,54.067,13.517,2.404,3.533,0.832
c849740a3ff51931,32.88,66,Average,135,21.787,67,Below,Orthodox,Bantamweight,16,3,19,0.842,5,8,3,2,1,0,0.263,0.421,0.158,0.105,0.053,0,15,186.449,12.43,7.187,2.939,0.965
d8c7c61b176e3994,27.47,68,Average,135,20.524,65,Below,Orthodox,Bantamweight,11,2,13,0.846,2,9,0,2,0,0,0.154,0.692,0,0.154,0,0,8,74.666,9.333,3.629,3.429,0
10f3ba6cd2f44a97,33.8,68,Average,135,20.524,68,Below,Orthodox,Bantamweight,22,2,24,0.917,13,8,1,1,0,1,0.542,0.333,0.042,0.042,0,0.042,14,246.05,17.575,5.048,2.154,0.061
2f13e4020cea5b38,36.44,65,Short,135,22.463,66,Below,Orthodox,Bantamweight,27,5,32,0.844,13,4,10,3,1,1,0.406,0.125,0.312,0.094,0.031,0.031,18,235.45,13.081,4.409,2.226,0.319
fea79f9bc8c68769,30.67,66,Average,135,21.787,67,Below,Orthodox,Bantamweight,21,5,27,0.778,6,5,10,1,2,2,0.222,0.185,0.37,0.037,0.074,0.074,4,31.667,7.917,3.347,2.81,0.474
9c907996820d2d69,29.49,64,Short,135,23.17,68,Below,Orthodox,Bantamweight,22,2,24,0.917,16,4,2,1,1,0,0.667,0.167,0.083,0.042,0.042,0,7,77.033,11.005,4.803,3.349,0
c268b2cfebccf652,28.54,63,Short,135,23.912,67,Below,Orthodox,Bantamweight,31,8,39,0.795,12,14,4,5,0,3,0.308,0.359,0.103,0.128,0,0.077,15,173.334,11.556,6.052,3.952,0.606
cb696ebfb6598724,29.41,67,Average,135,21.142,71,Below,Orthodox,Bantamweight,16,3,19,0.842,7,2,7,2,1,0,0.368,0.105,0.368,0.105,0.053,0,11,135.133,12.285,6.66,1.428,0.999
99506df1af6c8b3b,34.25,63,Short,135,23.912,66,Below,Orthodox,Bantamweight,20,10,30,0.667,9,9,2,10,0,0,0.3,0.3,0.067,0.333,0,0,14,191.317,13.665,3.863,3.408,0
6bd02119599741a4,32.3,66,Average,135,21.787,64,Below,Orthodox,Bantamweight,17,3,21,0.81,5,3,9,3,0,0,0.238,0.143,0.429,0.143,0,0,11,94.183,8.562,5.755,5.404,1.274
bf7ad5628363eec9,29.13,66,Average,135,21.787,64,Below,Orthodox,Bantamweight,17,2,19,0.895,9,6,2,1,0,1,0.474,0.316,0.105,0.053,0,0.053,4,53.7,13.425,6.331,3.445,0
05339613bf8e9808,31.51,68,Average,135,20.524,71,Below,Orthodox,Bantamweight,16,4,20,0.8,5,7,4,3,0,1,0.25,0.35,0.2,0.15,0,0.05,9,81.367,9.041,5.346,3.884,0.922
80daefbed11ce998,29.32,66,Average,135,21.787,67,Below,Orthodox,Bantamweight,21,6,27,0.778,7,9,5,2,1,3,0.259,0.333,0.185,0.074,0.037,0.111,9,97.583,10.843,5.216,2.88,0.154
2b074403b7c6cdb4,27.41,67,Average,135,21.142,70,Below,Southpaw,Bantamweight,21,3,24,0.875,1,17,3,1,2,0,0.042,0.708,0.125,0.042,0.083,0,8,61.083,7.635,5.763,4.649,0
3a314d9fa7c6825d,33.52,67,Average,135,21.142,68,Below,Orthodox,Bantamweight,25,2,28,0.893,5,19,1,1,0,1,0.179,0.679,0.036,0.036,0,0.036,5,67.15,13.43,4.095,4.08,0
94527830000ab715,34.29,66,Average,135,21.787,67,Below,Orthodox,Bantamweight,26,9,36,0.722,6,0,20,6,2,1,0.167,0,0.556,0.167,0.056,0.028,22,211.001,9.591,4.09,1.464,2.275
5ef0088c1b19beeb,34.4,68,Average,135,20.524,68,Below,Orthodox,Bantamweight,21,9,30,0.7,3,1,17,5,2,2,0.1,0.033,0.567,0.167,0.067,0.067,14,154.983,11.07,4.536,3.265,0.677
fc9a9559a05f2704,34.5,67,Average,135,21.142,69,Below,Orthodox,Bantamweight,23,13,37,0.622,5,13,5,6,3,4,0.135,0.351,0.135,0.162,0.081,0.108,19,204.234,10.749,3.476,3.413,0.147
ec52462a1b41f714,26.84,67,Average,135,21.142,71,Below,Orthodox,Bantamweight,15,2,17,0.882,8,2,5,2,0,0,0.471,0.118,0.294,0.118,0,0,5,60.5,12.1,7.24,4.744,0.496
7c7332319c14094c,26.06,68,Average,135,20.524,70,Below,Switch,Bantamweight,12,5,18,0.667,2,3,7,5,0,0,0.111,0.167,0.389,0.278,0,0,10,114.783,11.478,3.72,3.929,1.307
7be14eaed4c74856,32.36,66,Average,135,21.787,66,Below,Switch,Bantamweight,19,9,28,0.679,4,7,8,3,1,5,0.143,0.25,0.286,0.107,0.036,0.179,5,46.467,9.293,7.252,5.983,0.646
9ba2226646046b63,38.38,66,Average,135,21.787,66,Below,Orthodox,Bantamweight,13,5,18,0.722,8,3,2,2,2,0,0.444,0.167,0.111,0.111,0.111,0,8,116.9,14.613,5.355,3.088,0.128
65f09bacd3957381,26.68,71,Average,135,18.827,70,Below,Switch,Bantamweight,9,1,10,0.9,3,4,2,1,0,0,0.3,0.4,0.2,0.1,0,0,2,14.817,7.409,14.308,2.767,0
2f95a3c6d58b2aad,38.4,69,Average,135,19.934,71,Below,Southpaw,Bantamweight,35,10,46,0.761,7,14,14,6,2,2,0.152,0.304,0.304,0.13,0.043,0.043,19,177.667,9.351,4.165,2.792,0.844
